latitude,longitude,brightness,acq_date,instrument
-35.862,136.765,481.3,43833,MODIS
-35.885,136.684,401.7,43833,MODIS
-35.879,136.72,377.2,43833,MODIS
-35.881,136.708,417,43833,MODIS
-35.883,136.696,366.4,43833,MODIS
-35.894,136.687,362.8,43833,MODIS
-35.894,136.626,384.2,43833,MODIS
-35.896,136.614,398.6,43833,MODIS
-35.854,136.812,424.8,43833,MODIS
-35.853,136.762,439.5,43833,MODIS
-35.86,136.777,348.1,43833,MODIS
-35.866,136.741,440.5,43833,MODIS
-35.858,136.789,398.1,43833,MODIS
-35.872,136.706,385.9,43833,MODIS
-35.885,136.623,392.4,43833,MODIS
-35.887,136.611,383.5,43833,MODIS
-35.845,136.81,436.8,43833,MODIS
-36.055,136.776,384.5,43833,MODIS
-35.858,136.727,365.2,43833,MODIS
-35.862,136.703,350.6,43833,MODIS
-35.892,136.698,369,43833,MODIS
-35.857,136.739,401,43833,MODIS
-36.064,136.717,375.2,43833,MODIS
-36.017,136.767,504.2,43833,MODIS
-36.049,136.75,378.4,43833,MODIS
-36.047,136.762,365.4,43833,MODIS
-36.005,136.726,459.2,43833,MODIS
-35.751,136.646,372.9,43833,MODIS
-35.98,136.757,505.3,43833,MODIS
-36.042,136.736,503.5,43833,MODIS
-36.023,136.793,395.7,43833,MODIS
-36.027,136.769,463.7,43833,MODIS
-35.982,136.745,496.5,43833,MODIS
-36.014,136.79,400.5,43833,MODIS
